,open_4,high_4,low_4,close_4,over_ema_4,trend_4,volume_diff_4,open_3,high_3,low_3,close_3,over_ema_3,trend_3,volume_diff_3,open_2,high_2,low_2,close_2,over_ema_2,trend_2,volume_diff_2,open_1,high_1,low_1,close_1,over_ema_1,trend_1,volume_diff_1,trend
26,2.94,3.69,1.09,2.06,1.0,-1.0,-0.1281,2.44,4.35,0.09,2.06,1.0,0.0,0.0986,1.94,4.63,-0.65,-0.15,1.0,1.0,-0.0374,0.85,2.45,-1.01,0.75,1.0,1.0,0.0524,1.0
27,1.76,3.67,-0.59,1.38,1.0,0.0,0.0986,1.26,3.95,-1.33,-0.83,1.0,1.0,-0.0374,0.17,1.77,-1.69,0.07,1.0,1.0,0.0524,0.23,3.57,-0.99,2.88,1.0,1.0,-0.537,-1.0
28,1.01,3.7,-1.58,-1.08,1.0,1.0,-0.0374,-0.08,1.52,-1.94,-0.18,1.0,1.0,0.0524,-0.02,3.32,-1.24,2.63,1.0,1.0,-0.537,2.42,5.79,1.7,5.79,1.0,-1.0,0.8834,-1.0
29,0.26,1.86,-1.6,0.16,1.0,1.0,0.0524,0.32,3.66,-0.9,2.97,1.0,1.0,-0.537,2.76,6.13,2.04,6.13,1.0,-1.0,0.8834,5.86,6.86,2.57,2.57,1.0,-1.0,0.0944,1.0
30,0.19,3.53,-1.03,2.84,1.0,1.0,-0.537,2.63,6.0,1.91,6.0,1.0,-1.0,0.8834,5.73,6.73,2.44,2.44,1.0,-1.0,0.0944,2.87,3.61,-3.73,-3.16,0.0,1.0,0.337,1.0
31,2.42,5.79,1.7,5.79,1.0,-1.0,0.8834,5.52,6.52,2.23,2.23,1.0,-1.0,0.0944,2.66,3.4,-3.94,-3.37,0.0,1.0,0.337,-2.52,1.26,-3.4,0.92,1.0,1.0,-0.3134,1.0
32,5.1,6.1,1.81,1.81,1.0,-1.0,0.0944,2.24,2.98,-4.36,-3.79,0.0,1.0,0.337,-2.94,0.84,-3.82,0.5,1.0,1.0,-0.3134,0.84,3.34,-0.32,1.53,1.0,1.0,-0.0986,1.0
33,1.71,2.45,-4.89,-4.32,0.0,1.0,0.337,-3.47,0.31,-4.35,-0.03,1.0,1.0,-0.3134,0.31,2.81,-0.85,1.0,1.0,1.0,-0.0986,1.37,4.03,0.65,3.28,1.0,1.0,0.0674,1.0
34,-4.07,-0.29,-4.95,-0.63,1.0,1.0,-0.3134,-0.29,2.21,-1.45,0.4,1.0,1.0,-0.0986,0.77,3.43,0.05,2.68,1.0,1.0,0.0674,3.02,4.61,2.27,4.24,1.0,1.0,-0.238,-1.0
35,-0.56,1.94,-1.72,0.13,1.0,1.0,-0.0986,0.5,3.16,-0.22,2.41,1.0,1.0,0.0674,2.75,4.34,2.0,3.97,1.0,1.0,-0.238,3.97,6.31,3.06,5.22,1.0,-1.0,0.1536,-1.0
36,0.62,3.28,-0.1,2.53,1.0,1.0,0.0674,2.87,4.46,2.12,4.09,1.0,1.0,-0.238,4.09,6.43,3.18,5.34,1.0,-1.0,0.1536,4.72,5.04,2.17,2.65,1.0,-1.0,-0.2618,-1.0
37,3.06,4.65,2.31,4.28,1.0,1.0,-0.238,4.28,6.62,3.37,5.53,1.0,-1.0,0.1536,4.91,5.23,2.36,2.84,1.0,-1.0,-0.2618,2.78,4.22,-0.97,-0.97,0.0,-1.0,0.5331,-1.0
38,4.6,6.94,3.69,5.85,1.0,-1.0,0.1536,5.23,5.55,2.68,3.16,1.0,-1.0,-0.2618,3.1,4.54,-0.65,-0.65,0.0,-1.0,0.5331,-0.27,0.32,-4.23,-1.37,0.0,-1.0,0.3387,-1.0
39,5.77,6.09,3.22,3.7,1.0,-1.0,-0.2618,3.64,5.08,-0.11,-0.11,0.0,-1.0,0.5331,0.27,0.86,-3.69,-0.83,0.0,-1.0,0.3387,-0.17,0.22,-3.99,-2.49,0.0,-1.0,0.2069,-1.0
