0.471,0.846,0.623,0.748,0.715,0.6587912087912088,0.8536973702773587
0.547,0.904,0.729,0.809,0.79,0.7256433823529411,1.943787672840101
0.5,0.918,0.75,0.788,0.78,0.708955223880597,-2.557460277028662
0.483,0.9,0.674,0.803,0.775,0.6916666666666667,0.3129280571021754
0.545,0.91,0.698,0.841,0.81,0.7278996865203761,0.0777969335010686
0.492,0.949,0.816,0.802,0.805,0.7204843007762716,0.2423373800012895
0.407,0.966,0.815,0.815,0.815,0.6865804160324709,0.03359950282754615
0.5,0.91,0.733,0.787,0.775,0.7052238805970149,0.20042939030810883
0.541,0.885,0.673,0.815,0.78,0.7129378464441561,1.3425735971937236
0.615,0.838,0.571,0.861,0.78,0.7266112266112267,0.5155689971371883
0.484,0.935,0.769,0.801,0.795,0.7093267882187939,0.20602226575890725
