0.509,0.925,0.711,0.84,0.815,0.717302015145681,0.2724700379762076
0.653,0.914,0.711,0.89,0.85,0.783484254629004,0.39651567603637516
0.493,0.902,0.717,0.779,0.765,0.69739647626529,-1.3216825752737427
0.389,0.914,0.718,0.727,0.725,0.6514756944444444,0.31626157495790885
0.556,0.942,0.814,0.822,0.82,0.748580697485807,0.5741898710412799
0.453,0.86,0.604,0.77,0.73,0.6567095588235294,0.47855996318716026
0.457,0.942,0.7,0.853,0.83,0.6990400903444381,0.10245943507754392
0.508,0.904,0.717,0.792,0.775,0.7056980056980057,0.2932619171191379
0.552,0.866,0.627,0.826,0.775,0.708960660514813,0.4445233172777537
0.448,0.88,0.605,0.796,0.755,0.6642787761049053,0.1523964723603319
0.414,0.958,0.8,0.8,0.8,0.6857697911607576,0.20638643887108238
