0.524,0.898,0.702,0.804,0.78,0.710809871393813,0.4540878429574452
0.464,0.855,0.627,0.752,0.72,0.6593649740015488,0.2763652963097939
0.574,0.892,0.7,0.827,0.795,0.7329284113692652,0.9263827715758385
0.564,0.883,0.646,0.842,0.795,0.7231974921630095,0.24862395490863942
0.478,0.917,0.744,0.777,0.77,0.6974525866906072,0.3047444937154041
0.518,0.931,0.744,0.832,0.815,0.7242063492063492,0.12097778599853116
0.625,0.868,0.648,0.856,0.8,0.7465277777777779,0.9881387923619479
0.574,0.892,0.7,0.827,0.795,0.7329284113692652,0.38939753224951845
0.596,0.923,0.756,0.852,0.83,0.7597840755735493,0.3207975327258283
0.518,0.889,0.644,0.826,0.785,0.7033730158730158,0.4382202924822077
0.436,0.897,0.615,0.807,0.77,0.6664576802507838,0.29573299510062523
